"proj_id","team_size","budget","workload","completion_time","assigned_manager","tasks__id","tasks__description","tasks__status","tasks__person_assigned","tasks__due_date","tasks__estimated_duration"
"1","2","10125.05","medium","155","Victoria Dunn","1","Document integration module","complete","Jane Porter","2024-04-20","10"
"2","7","10158.91","low","141","Victoria Dunn","1","Implement integration module","incomplete","Carla Lopez","2024-10-24","4"
"3","8","12946.33","low","111","Joseph Parker","1","Implement backend logic","incomplete","Jennifer Harrison","2024-09-12","2"
"","","","","","","2","Debug user interface","incomplete","Michael Phillips","2024-09-12","6"
"","","","","","","3","Test user interface","incomplete","Kimberly Reese","2024-09-12","9"
"4","2","14865.58","medium","70","George Shannon","1","Implement user interface","complete","Robert Taylor","2024-07-08","4"
"","","","","","","2","Test user interface","complete","Debbie White","2024-07-08","2"
"","","","","","","3","Test algorithm","incomplete","Steven Conley","2024-07-08","3"
"5","6","11776.35","high","166","Joseph Parker","1","Document backend logic","complete","Paul Watson","2025-01-23","3"
"6","8","11897.28","high","315","Victoria Dunn","1","Design backend logic","complete","Natasha Rodriguez","2025-01-24","6"
"","","","","","","2","Test user interface","complete","Jocelyn Watson","2025-01-24","10"
"","","","","","","3","Test backend logic","incomplete","Glen Page","2025-01-24","7"
"7","8","10714.36","low","156","Margaret Clayton","1","Optimize algorithm","incomplete","Bradley Taylor","2024-11-22","6"
"","","","","","","2","Implement integration module","incomplete","Ronald Shea","2024-11-22","2"
"","","","","","","3","Design user interface","complete","Kelli Rivera","2024-11-22","3"
"8","7","12982.05","medium","225","Nicole Lewis","1","Design user interface","incomplete","Candice Hunt","2024-10-05","6"
"","","","","","","2","Test algorithm","complete","David Moses","2024-10-05","8"
"","","","","","","3","Document database schema","complete","Laurie Phillips","2024-10-05","9"
"9","2","14352.59","medium","357","Daniel Romero","1","Test backend logic","complete","Robin Zamora","2024-12-16","10"
"","","","","","","2","Debug user interface","complete","Rebecca Garcia","2024-12-16","6"
"10","5","11197.26","low","320","Ashley Lyons","1","Optimize backend logic","complete","Stephen Brown","2024-03-23","8"
"","","","","","","2","Implement database schema","incomplete","William Ray","2024-03-23","4"
"","","","","","","3","Document backend logic","incomplete","Brittany King","2024-03-23","7"
"","","","","","","4","Document database schema","incomplete","Tanner Dickson","2024-03-23","9"
"11","8","10605.02","low","62","Daniel Lopez","1","Implement user interface","complete","Anthony Ruiz","2024-02-19","1"
"","","","","","","2","Design user interface","incomplete","James Bartlett","2024-02-19","2"
"12","9","11190.02","high","278","Joseph Johnson","1","Optimize integration module","incomplete","Ann Mullins","2024-11-11","4"
"","","","","","","2","Debug backend logic","complete","Ashley Newton","2024-11-11","2"
"13","7","11771.49","medium","269","Taylor Delgado","1","Debug database schema","complete","Meagan Nguyen","2024-03-07","4"
"14","4","10951.04","medium","101","Mark Tanner","1","Implement user interface","incomplete","Catherine Caldwell","2024-05-12","9"
"","","","","","","2","Design integration module","complete","Cassandra Hogan","2024-05-12","2"
"","","","","","","3","Implement backend logic","incomplete","Olivia Aguilar","2024-05-12","8"
"15","8","11068.74","medium","60","Amanda Baker","1","Test algorithm","incomplete","Natasha Giles","2024-08-21","7"
"16","9","13309.36","medium","109","Debra Mcdaniel","1","Optimize integration module","complete","David Miranda","2024-07-09","6"
"","","","","","","2","Design integration module","incomplete","David Miranda","2024-07-09","9"
"17","9","10787.16","high","71","Robert Allen","1","Implement algorithm","complete","Darren Gill","2024-03-15","10"
"18","4","12894.6","low","347","Ashley Lyons","1","Implement database schema","complete","Trevor Roy","2024-09-10","5"
"","","","","","","2","Implement database schema","incomplete","Leslie Friedman","2024-09-10","6"
"","","","","","","3","Design user interface","incomplete","Olivia Aguilar","2024-09-10","10"
"19","10","14980.48","low","305","Joseph Johnson","1","Test user interface","complete","Natalie Zhang","2024-10-25","6"
"","","","","","","2","Implement algorithm","incomplete","Amber Glover","2024-10-25","10"
"","","","","","","3","Optimize user interface","incomplete","Charles Ferguson","2024-10-25","2"
"20","3","11322.33","low","313","Erika Brown","1","Implement database schema","complete","Kimberly Reese","2024-06-27","5"
"","","","","","","2","Debug database schema","complete","Paul Hurst","2024-06-27","2"
"","","","","","","3","Debug database schema","complete","Heather Baker","2024-06-27","1"
"21","6","13855.6","high","164","Amanda Baker","1","Design user interface","complete","Carla Lopez","2024-09-22","3"
"","","","","","","2","Design database schema","complete","Randy Garcia","2024-09-22","7"
"","","","","","","3","Design database schema","incomplete","Angela Smith","2024-09-22","1"
"","","","","","","4","Implement backend logic","complete","John Romero","2024-09-22","6"
"22","9","14420.67","medium","347","Margaret Clayton","1","Implement algorithm","complete","John Graham","2024-04-28","3"
"","","","","","","2","Test algorithm","complete","Sarah Mccormick","2024-04-28","5"
"23","3","13936.87","low","225","Sheila Weiss","1","Debug database schema","incomplete","Valerie Stephens","2024-10-06","4"
"","","","","","","2","Design backend logic","incomplete","Kevin Ferguson","2024-10-06","6"
"24","5","14321.76","medium","209","Stacy Watts","1","Optimize database schema","complete","Jane Porter","2024-10-26","2"
"","","","","","","2","Implement integration module","incomplete","Trevor Roy","2024-10-26","1"
"","","","","","","3","Optimize algorithm","incomplete","Gregory Wright","2024-10-26","6"
"","","","","","","4","Optimize integration module","complete","Michael Skinner","2024-10-26","7"
"25","10","10950.39","low","253","Jason Lee","1","Debug user interface","incomplete","Richard Davies","2024-11-01","10"
"","","","","","","2","Document user interface","incomplete","Troy Simon","2024-11-01","9"
"26","5","13334.46","medium","236","Joseph Parker","1","Debug algorithm","complete","John Matthews","2024-07-09","10"
"","","","","","","2","Test algorithm","complete","Rebecca Snyder","2024-07-09","5"
"27","5","11050.91","high","340","Stacy Watts","1","Debug backend logic","incomplete","Brittany Meyers","2024-07-22","3"
"","","","","","","2","Design database schema","incomplete","Jacqueline Anderson","2024-07-22","2"
"","","","","","","3","Implement database schema","complete","Olivia Aguilar","2024-07-22","4"
"","","","","","","4","Design user interface","complete","Jose Fisher","2024-07-22","8"
"28","10","14248.69","low","263","Marc Marquez","1","Document algorithm","incomplete","Glen Page","2024-12-27","7"
"","","","","","","2","Implement user interface","complete","Derrick Taylor","2024-12-27","7"
"29","4","10879.43","high","295","Erin Hale","1","Debug backend logic","incomplete","Austin Knox","2024-03-05","9"
"","","","","","","2","Optimize database schema","incomplete","Carla Lopez","2024-03-05","10"
"30","9","12133.7","high","258","Amanda Baker","1","Implement database schema","incomplete","Trevor Roy","2024-10-09","4"
"","","","","","","2","Debug user interface","incomplete","Samantha Martinez","2024-10-09","4"
"","","","","","","3","Test database schema","complete","Susan Morrison","2024-10-09","3"
"","","","","","","4","Implement algorithm","complete","Cindy Martinez","2024-10-09","4"
"31","2","12074.34","medium","307","Erin Hale","1","Debug algorithm","complete","Wendy Cummings","2024-09-08","10"
"32","7","12384.9","medium","182","David Johnson","1","Document integration module","complete","Jade Herrera","2024-08-26","8"
"","","","","","","2","Test algorithm","incomplete","Ronald Shea","2024-08-26","1"
"","","","","","","3","Test algorithm","complete","Natasha Giles","2024-08-26","8"
"","","","","","","4","Optimize integration module","complete","Angela Smith","2024-08-26","7"
"33","10","12821.96","low","72","Stacy Watts","1","Implement user interface","incomplete","Catherine Caldwell","2024-09-15","7"
"","","","","","","2","Implement algorithm","incomplete","Dennis Nichols","2024-09-15","6"
"34","7","11391.28","medium","159","Ashley Lyons","1","Optimize user interface","incomplete","Bradley Taylor","2024-10-06","4"
"35","2","13906.17","high","50","David Johnson","1","Design integration module","complete","Valerie Stephens","2024-02-24","4"
"","","","","","","2","Debug user interface","complete","Angela Smith","2024-02-24","8"
"36","5","13834.49","low","340","Nicole Lewis","1","Design integration module","complete","Katelyn Walker","2024-04-07","5"
"","","","","","","2","Document algorithm","incomplete","Robert Taylor","2024-04-07","4"
"37","2","12960.49","high","154","Tyler Turner","1","Optimize user interface","complete","James Armstrong","2025-01-30","6"
"","","","","","","2","Debug database schema","complete","Lynn Smith","2025-01-30","9"
"","","","","","","3","Test user interface","incomplete","Michael Livingston","2025-01-30","8"
"38","2","12167.62","medium","355","Erin Hale","1","Implement integration module","incomplete","Michael Skinner","2025-02-05","10"
"","","","","","","2","Debug algorithm","incomplete","Jade Herrera","2025-02-05","10"
"39","5","11611.52","low","74","Robert Marshall","1","Debug integration module","incomplete","Olivia Aguilar","2024-09-26","6"
"","","","","","","2","Debug database schema","complete","Ethan Lewis","2024-09-26","8"
"40","4","11774.12","medium","204","Robert Marshall","1","Design integration module","complete","Marvin Long","2024-12-10","2"
"","","","","","","2","Document algorithm","incomplete","Marcia Moody","2024-12-10","9"
"","","","","","","3","Implement algorithm","incomplete","Vernon Johnson","2024-12-10","8"
"41","1","10465.27","low","237","Joseph Parker","1","Optimize database schema","incomplete","Samantha Arnold","2024-06-12","9"
"","","","","","","2","Test algorithm","incomplete","Joshua Huynh","2024-06-12","6"
"","","","","","","3","Debug database schema","incomplete","Kathleen Wright","2024-06-12","5"
"42","4","10603.28","low","191","Jessica Costa","1","Implement algorithm","incomplete","John Matthews","2024-11-09","10"
"","","","","","","2","Optimize integration module","incomplete","Vernon Johnson","2024-11-09","2"
"43","4","11481.23","medium","121","Randall Jones","1","Design user interface","incomplete","Samantha Martinez","2024-02-16","3"
"","","","","","","2","Debug user interface","complete","Stephanie Harrison","2024-02-16","10"
"44","5","12346.98","medium","204","Robert Allen","1","Design user interface","incomplete","Randall Banks","2024-03-06","8"
"","","","","","","2","Optimize user interface","complete","Brian Becker","2024-03-06","3"
"","","","","","","3","Test user interface","complete","James Hernandez","2024-03-06","2"
"45","9","13822.22","high","335","Chase Welch","1","Debug database schema","incomplete","Ronald Thompson","2024-06-03","5"
"","","","","","","2","Optimize user interface","complete","Rebecca Snyder","2024-06-03","4"
"","","","","","","3","Implement database schema","complete","Jennifer Harrison","2024-06-03","3"
"","","","","","","4","Implement integration module","complete","Marcia Moody","2024-06-03","3"
"46","1","12042.59","high","334","Megan Carpenter","1","Test database schema","incomplete","Natasha Sloan","2024-07-07","2"
"47","4","14619.56","high","331","Edward Owen","1","Optimize backend logic","complete","Deborah Nelson","2024-05-20","5"
"","","","","","","2","Design user interface","complete","Sara Strong","2024-05-20","5"
"","","","","","","3","Document integration module","incomplete","Ariel Watson","2024-05-20","8"
"","","","","","","4","Debug database schema","incomplete","Austin Knox","2024-05-20","5"
"48","9","12699.91","medium","71","Nicole Lewis","1","Test integration module","incomplete","Sarah Mccormick","2024-02-29","1"
"","","","","","","2","Implement integration module","complete","Michael Phillips","2024-02-29","5"
"","","","","","","3","Design backend logic","incomplete","Robert Taylor","2024-02-29","9"
